"","systematic_name","gene","treatment_id","sample_id","abundance_log2"
"1","YAL003W","EFB1","NC","NC.1_1",19.30916039
"2","YAL005C","SSA1","NC","NC.1_1",17.77049029
"3","YAL007C","ERP2","NC","NC.1_1",15.16354695
"4","YAL012W","CYS3","NC","NC.1_1",18.78570973
"5","YAL016W","TPD3","NC","NC.1_1",15.95378003
"6","YAL021C","CCR4","NC","NC.1_1",14.35765043
"7","YAL023C","PMT2","NC","NC.1_1",14.96196486
"8","YAL035W","FUN12","NC","NC.1_1",15.74015261
"9","YAL036C","RBG1","NC","NC.1_1",16.02785008
"10","YAL038W","CDC19","NC","NC.1_1",21.22678002
"11","YAL042W","ERV46","NC","NC.1_1",14.52943895
"12","YAL044C","GCV3","NC","NC.1_1",16.179881
"13","YAL060W","BDH1","NC","NC.1_1",15.35313538
"14","YAR002C-A","ERP1","NC","NC.1_1",16.77350215
"15","YAR002W","NUP60","NC","NC.1_1",14.72138409
"16","YAR007C","RFA1","NC","NC.1_1",15.62760769
"17","YAR015W","ADE1","NC","NC.1_1",15.59089818
"18","YBL002W","HTB2","NC","NC.1_1",18.00548903
"19","YBL003C;YDR225W",NA,"NC","NC.1_1",19.34206924
"20","YBL007C","SLA1","NC","NC.1_1",15.03829288
"21","YBL017C","PEP1","NC","NC.1_1",15.20601609
"22","YBL022C","PIM1","NC","NC.1_1",14.42121952
"23","YBL023C","MCM2","NC","NC.1_1",14.08849105
"24","YBL024W","NCL1","NC","NC.1_1",16.24122638
"25","YBL026W","LSM2","NC","NC.1_1",15.91485307
"26","YBL027W;YBR084C-A",NA,"NC","NC.1_1",19.57210167
"27","YBL030C","PET9","NC","NC.1_1",16.42695418
"28","YBL032W","HEK2","NC","NC.1_1",16.29688863
"29","YBL036C","YBL036C","NC","NC.1_1",15.60481206
"30","YBL039C","URA7","NC","NC.1_1",16.84408312
"31","YBL041W","PRE7","NC","NC.1_1",16.15457462
"32","YBL045C","COR1","NC","NC.1_1",16.05055705
"33","YBL047C","EDE1","NC","NC.1_1",15.70834341
"34","YBL050W","SEC17","NC","NC.1_1",15.76182227
"35","YBL058W","SHP1","NC","NC.1_1",15.34847308
"36","YBL064C","PRX1","NC","NC.1_1",15.47851956
"37","YBL072C;YER102W",NA,"NC","NC.1_1",20.49053534
"38","YBL075C","SSA3","NC","NC.1_1",18.40695542
"39","YBL076C","ILS1","NC","NC.1_1",17.65394562
"40","YBL087C;YER117W",NA,"NC","NC.1_1",18.75328358
"41","YBL091C","MAP2","NC","NC.1_1",15.46167228
"42","YBL092W","RPL32","NC","NC.1_1",19.79711444
"43","YBL099W","ATP1","NC","NC.1_1",17.9529376
"44","YBL102W","SFT2","NC","NC.1_1",15.68934093
"45","YBR009C;YNL030W",NA,"NC","NC.1_1",18.232742
"46","YBR011C","IPP1","NC","NC.1_1",18.3977326
"47","YBR015C","MNN2","NC","NC.1_1",15.39637391
"48","YBR017C","KAP104","NC","NC.1_1",15.60096424
"49","YBR025C","OLA1","NC","NC.1_1",17.14300042
"50","YBR026C","ETR1","NC","NC.1_1",15.68931624
"51","YBR034C","HMT1","NC","NC.1_1",15.494134
"52","YBR035C","PDX3","NC","NC.1_1",16.47255289
"53","YBR039W","ATP3","NC","NC.1_1",16.28663982
"54","YBR048W;YDR025W",NA,"NC","NC.1_1",19.62694371
"55","YBR052C","RFS1","NC","NC.1_1",15.98711826
"56","YBR072W","HSP26","NC","NC.1_1",15.59187703
"57","YBR078W","ECM33","NC","NC.1_1",19.80313617
"58","YBR079C","RPG1","NC","NC.1_1",16.37512775
"59","YBR080C","SEC18","NC","NC.1_1",15.15261551
"60","YBR084W","MIS1","NC","NC.1_1",15.60125988
"61","YBR085W","AAC3","NC","NC.1_1",17.74061385
"62","YBR086C","IST2","NC","NC.1_1",14.64972407
"63","YBR088C","POL30","NC","NC.1_1",16.95654548
"64","YBR089C-A","NHP6B","NC","NC.1_1",17.54324427
"65","YBR092C","PHO3","NC","NC.1_1",17.27338073
"66","YBR094W","PBY1","NC","NC.1_1",14.73267884
"67","YBR101C","FES1","NC","NC.1_1",15.47363745
"68","YBR106W","PHO88","NC","NC.1_1",17.27494661
"69","YBR111C","YSA1","NC","NC.1_1",15.3210459
"70","YBR112C","CYC8","NC","NC.1_1",14.38996396
"71","YBR115C","LYS2","NC","NC.1_1",15.48973969
"72","YBR118W;YPR080W",NA,"NC","NC.1_1",19.06589089
"73","YBR121C","GRS1","NC","NC.1_1",17.09541859
"74","YBR126C","TPS1","NC","NC.1_1",16.16224963
"75","YBR127C","VMA2","NC","NC.1_1",17.78650485
"76","YBR130C","SHE3","NC","NC.1_1",14.09282012
"77","YBR143C","SUP45","NC","NC.1_1",16.80427925
"78","YBR149W","ARA1","NC","NC.1_1",16.41111915
"79","YBR154C","RPB5","NC","NC.1_1",16.13061769
"80","YBR155W","CNS1","NC","NC.1_1",14.89991355
"81","YBR160W","CDC28","NC","NC.1_1",15.11475095
"82","YBR162C","TOS1","NC","NC.1_1",16.12667053
"83","YBR164C","ARL1","NC","NC.1_1",15.1565087
"84","YBR169C","SSE2","NC","NC.1_1",15.37803325
"85","YBR170C","NPL4","NC","NC.1_1",14.48148794
"86","YBR177C","EHT1","NC","NC.1_1",15.80776821
"87","YBR181C;YPL090C",NA,"NC","NC.1_1",18.8934918
"88","YBR189W","RPS9B","NC","NC.1_1",19.57846512
"89","YBR196C","PGI1","NC","NC.1_1",19.00649815
"90","YBR198C","TAF5","NC","NC.1_1",14.50986426
"91","YBR205W","KTR3","NC","NC.1_1",15.56536692
"92","YBR218C","PYC2","NC","NC.1_1",15.45647505
"93","YBR221C","PDB1","NC","NC.1_1",18.45545886
"94","YBR222C","PCS60","NC","NC.1_1",15.5355324
"95","YBR234C","ARC40","NC","NC.1_1",16.13917691
"96","YBR244W","GPX2","NC","NC.1_1",16.19589068
"97","YBR245C","ISW1","NC","NC.1_1",14.36507249
"98","YBR247C","ENP1","NC","NC.1_1",15.06517443
"99","YBR248C","HIS7","NC","NC.1_1",15.0847766
"100","YBR249C","ARO4","NC","NC.1_1",17.20062596
"101","YBR252W","DUT1","NC","NC.1_1",16.08605416
